X_COORD,Y_COORD,NOM,DEPARTEMEN,PCODE1,PCODE2,PAYS,AUTEUR,DISTRICT,CL_DISTRIC,DATE_CREAT,MAJ,DATE_MAJ,PCODES,PCODE3,REGION,CHEF__LIEU
445495.00000000000,744061.00000000000,Abengourou,ABENGOUROU,CIV09,CIV0901,COTE D'VOIRE,CNTIG,COMOE,ABENGOUROU,2008,OCHA-CI,2012,OCHA-CI,CIV090102,INDENIE-DJUABLIN,ABENGOUROU
454367.00000000000,672386.00000000000,Bettié,BETTIE,CIV09,CIV0901,COTE D'VOIRE,CNTIG,COMOE,ABENGOUROU,2008,OCHA-CI,2012,OCHA-CI,CIV090103,INDENIE-DJUABLIN,ABENGOUROU
477822.00000000000,788060.00000000000,Agnibilekrou,AGNIBILEKROU,CIV09,CIV0901,COTE D'VOIRE,CNTIG,COMOE,ABENGOUROU,2008,OCHA-CI,2012,OCHA-CI,CIV090101,INDENIE-DJUABLIN,ABENGOUROU
334948.00000000000,780942.00000000000,Bocanda,BOCANDA,CIV07,CIV0703,COTE D'VOIRE,CNTIG,LACS,DIMBOKRO,2008,OCHA-CI,2012,OCHA-CI,CIV070301,N'ZI,DIMBOKRO
368244.00000000000,733530.00000000000,Bongouanou,BONGOUANOU,CIV07,CIV0703,COTE D'VOIRE,CNTIG,LACS,DIMBOKRO,2008,OCHA-CI,2012,OCHA-CI,CIV070303,N'ZI,DIMBOKRO
392328.00000000000,737449.00000000000,Arrah,ARRAH,CIV07,CIV0703,COTE D'VOIRE,CNTIG,LACS,DIMBOKRO,2008,OCHA-CI,2012,OCHA-CI,CIV070304,N'ZI,DIMBOKRO
350389.00000000000,715580.00000000000,M'Batto,M'BATTO,CIV07,CIV0703,COTE D'VOIRE,CNTIG,LACS,DIMBOKRO,2008,OCHA-CI,2012,OCHA-CI,CIV070305,N'ZI,DIMBOKRO
311912.00000000000,734846.00000000000,Dimbokro,DIMBOKRO,CIV07,CIV0703,COTE D'VOIRE,CNTIG,LACS,DIMBOKRO,2008,OCHA-CI,2012,OCHA-CI,CIV070302,N'ZI,DIMBOKRO
352493.00000000000,824173.00000000000,M'Bahiakro,M'BAHIAKRO,CIV07,CIV0701,COTE D'VOIRE,CNTIG,LACS,DIMBOKRO,2008,OCHA-CI,2012,OCHA-CI,CIV070102,IFFOU,DAOUKRO
117751.00000000000,1054110.00000000000,Boundiali,BOUNDIALI,CIV01,CIV0101,COTE D'VOIRE,CNTIG,SAVANES,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV010103,BAGOUE,BOUNDIALI
125812.00000000000,1095910.00000000000,Kouto,KOUTO,CIV01,CIV0101,COTE D'VOIRE,CNTIG,SAVANES,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV010102,BAGOUE,BOUNDIALI
263212.00000000000,1102430.00000000000,Ouangolodougou,OUANGOLODOUGOU,CIV01,CIV0103,COTE D'VOIRE,CNTIG,SAVANES,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV010301,TCHOLOGO,FERKESSEDOUGOU
194593.00000000000,1003260.00000000000,Dikodougou,DIKODOUGOU,CIV01,CIV0102,COTE D'VOIRE,CNTIG,SAVANES,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV010203,PORO,KORHOGO
238147.00000000000,1060210.00000000000,Sinematiali,SINEMATIALI,CIV01,CIV0102,COTE D'VOIRE,CNTIG,SAVANES,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV010202,PORO,KORHOGO
211004.00000000000,1046480.00000000000,Korhogo,KORHOGO,CIV01,CIV0102,COTE D'VOIRE,CNTIG,SAVANES,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV010201,PORO,KORHOGO
