CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_PCODE,ADM2_NAME,ADM2_PCODE,ADM3_NAME,ADM3_PCODE,NATREG
Guinea,GIN,Kindia,GIN005,Telemele,GIN005005,Gougoudje,GIN00500503,Basse Guinee
Guinea,GIN,Nzerekore,GIN008,Lola,GIN008002,Gueasso,GIN00800204,Guinee Forestiere
Guinea,GIN,Nzerekore,GIN008,Gueckedou,GIN008006,Gueckedou Ctre,GIN00800603,Guinee Forestiere
Guinea,GIN,Nzerekore,GIN008,Gueckedou,GIN008006,Guendembou,GIN00800604,Guinee Forestiere
Guinea,GIN,Boke,GIN001,Koundara,GIN001004,Guinguan,GIN00100401,Moyenne Guinee
Guinea,GIN,Labe,GIN006,Labe,GIN006002,Hafia,GIN00600206,Moyenne Guinee
Guinea,GIN,Faranah,GIN003,Faranah,GIN003003,Heremakono,GIN00300305,Haute Guinee
Guinea,GIN,Labe,GIN006,Lelouma,GIN006003,Herico,GIN00600303,Moyenne Guinee
Guinea,GIN,Labe,GIN006,Mali,GIN006004,Hidayatou,GIN00600406,Moyenne Guinee
Guinea,GIN,Mamou,GIN007,Dalaba,GIN007001,Kaala,GIN00700104,Moyenne Guinee
Guinea,GIN,Labe,GIN006,Labe,GIN006002,Kaalan,GIN00600207,Moyenne Guinee
Guinea,GIN,Kindia,GIN005,Forecariah,GIN005003,Kaback,GIN00500305,Basse Guinee
Guinea,GIN,Boke,GIN001,Gaoual,GIN001003,Kakony,GIN00100303,Moyenne Guinee
Guinea,GIN,Kindia,GIN005,Forecariah,GIN005003,Kakossa,GIN00500306,Basse Guinee
Guinea,GIN,Kindia,GIN005,Forecariah,GIN005003,Kaliah,GIN00500307,Basse Guinee
Guinea,GIN,Faranah,GIN003,Dinguiraye,GIN003002,Kalinko,GIN00300206,Haute Guinee
Guinea,GIN,Boke,GIN001,Koundara,GIN001004,Kamabi,GIN00100402,Moyenne Guinee
Guinea,GIN,Boke,GIN001,Boke,GIN001002,Kamsar,GIN00100204,Basse Guinee
Guinea,GIN,Mamou,GIN007,Dalaba,GIN007001,Kankalabe,GIN00700105,Moyenne Guinee
Guinea,GIN,Faranah,GIN003,Dabola,GIN003001,Kankama,GIN00300106,Haute Guinee
Guinea,GIN,Kankan,GIN004,Kankan,GIN004001,Kankan Ctre,GIN00400105,Haute Guinee
Guinea,GIN,Labe,GIN006,Tougue,GIN006005,Kansangui,GIN00600503,Moyenne Guinee
Guinea,GIN,Kankan,GIN004,Mandiana,GIN004004,Kantoumanina,GIN00400404,Haute Guinee
Guinea,GIN,Nzerekore,GIN008,Beyla,GIN008001,Karala,GIN00800108,Guinee Forestiere
Guinea,GIN,Kankan,GIN004,Kankan,GIN004001,Karifamoriah,GIN00400106,Haute Guinee
Guinea,GIN,Nzerekore,GIN008,Gueckedou,GIN008006,Kassadou,GIN00800605,Guinee Forestiere
Guinea,GIN,Mamou,GIN007,Dalaba,GIN007001,Kebali,GIN00700106,Moyenne Guinee
Guinea,GIN,Mamou,GIN007,Mamou,GIN007002,Kegneko,GIN00700204,Moyenne Guinee
Guinea,GIN,Kankan,GIN004,Kerouane,GIN004002,Kerouane Ctre,GIN00400203,Haute Guinee
Guinea,GIN,Kindia,GIN005,Dubreka,GIN005002,Khorira,GIN00500204,Basse Guinee
Guinea,GIN,Kindia,GIN005,Kindia,GIN005004,Kindia Ctre,GIN00500404,Basse Guinee
Guinea,GIN,Faranah,GIN003,Dabola,GIN003001,Kindoye,GIN00300107,Haute Guinee
Guinea,GIN,Kankan,GIN004,Siguiri,GIN004005,Kiniebakoura,GIN00400504,Haute Guinee
Guinea,GIN,Kankan,GIN004,Mandiana,GIN004004,Kinieran,GIN00400405,Haute Guinee
Guinea,GIN,Kankan,GIN004,Kouroussa,GIN004003,Kiniero,GIN00400308,Haute Guinee
Guinea,GIN,Kankan,GIN004,Siguiri,GIN004005,Kintinian,GIN00400505,Haute Guinee
Guinea,GIN,Faranah,GIN003,Kissidougou,GIN003004,Kissidougou Ctre,GIN00300408,Guinee Forestiere
Guinea,GIN,Mamou,GIN007,Dalaba,GIN007001,Koba,GIN00700107,Basse Guinee
Guinea,GIN,Kindia,GIN005,Telemele,GIN005005,Koba,GIN00500504,Basse Guinee
Guinea,GIN,Boke,GIN001,Boffa,GIN001001,Koba Tatema,GIN00100103,Basse Guinee
Guinea,GIN,Nzerekore,GIN008,Nzerekore,GIN008004,Kobela,GIN00800403,Guinee Forestiere
Guinea,GIN,Faranah,GIN003,Faranah,GIN003003,Kobikoro,GIN00300306,Haute Guinee
Guinea,GIN,Labe,GIN006,Tougue,GIN006005,Koin,GIN00600504,Moyenne Guinee
Guinea,GIN,Nzerekore,GIN008,Lola,GIN008002,Kokota,GIN00800205,Guinee Forestiere
Guinea,GIN,Boke,GIN001,Boke,GIN001002,Kolaboui,GIN00100206,Basse Guinee
Guinea,GIN,Labe,GIN006,Tougue,GIN006005,Kolangui,GIN00600505,Moyenne Guinee
Guinea,GIN,Kindia,GIN005,Kindia,GIN005004,Kolente,GIN00500405,Basse Guinee
Guinea,GIN,Boke,GIN001,Boffa,GIN001001,Kolia,GIN00100104,Basse Guinee
Guinea,GIN,Kindia,GIN005,Telemele,GIN005005,Kollet,GIN00500505,Basse Guinee
Guinea,GIN,Labe,GIN006,Tougue,GIN006005,Kolet,GIN00600506,Moyenne Guinee
Guinea,GIN,Kankan,GIN004,Kerouane,GIN004002,Komodou,GIN00400204,Haute Guinee
Guinea,GIN,Kankan,GIN004,Kouroussa,GIN004003,Komola Khoura,GIN00400309,Haute Guinee
Guinea,GIN,Labe,GIN006,Tougue,GIN006005,Konah,GIN00600507,Moyenne Guinee
Guinea,GIN,Faranah,GIN003,Kissidougou,GIN003004,Kondiadou,GIN00300409,Guinee Forestiere
Guinea,GIN,Faranah,GIN003,Dabola,GIN003001,Konendou,GIN00300108,Haute Guinee
Guinea,GIN,Kankan,GIN004,Kerouane,GIN004002,Konsankoro,GIN00400205,Haute Guinee
Guinea,GIN,Kindia,GIN005,Telemele,GIN005005,Konsotami,GIN00500506,Basse Guinee
Guinea,GIN,Labe,GIN006,Lelouma,GIN006003,Korbe,GIN00600304,Moyenne Guinee
Guinea,GIN,Nzerekore,GIN008,Nzerekore,GIN008004,Koropara,GIN00800404,Guinee Forestiere
Guinea,GIN,Nzerekore,GIN008,Macenta,GIN008003,Kouankan,GIN00800306,Guinee Forestiere
Guinea,GIN,Labe,GIN006,Koubia,GIN006001,Koubia Ctre,GIN00600103,Moyenne Guinee
Guinea,GIN,Nzerekore,GIN008,Nzerekore,GIN008004,Koule,GIN00800405,Guinee Forestiere
Guinea,GIN,Kankan,GIN004,Kouroussa,GIN004003,Koumana,GIN00400310,Haute Guinee
Guinea,GIN,Nzerekore,GIN008,Beyla,GIN008001,Koumandou,GIN00800109,Guinee Forestiere
Guinea,GIN,Kankan,GIN004,Kankan,GIN004001,Koumban,GIN00400107,Haute Guinee
Guinea,GIN,Boke,GIN001,Gaoual,GIN001003,Koumbia,GIN00100304,Moyenne Guinee
Guinea,GIN,Boke,GIN001,Koundara,GIN001004,Koundara Ctre,GIN00100403,Moyenne Guinee
Guinea,GIN,Kankan,GIN004,Mandiana,GIN004004,Koundian,GIN00400406,Haute Guinee
Guinea,GIN,Kankan,GIN004,Mandiana,GIN004004,Koundianakoro,GIN00400407,Haute Guinee
Guinea,GIN,Nzerekore,GIN008,Gueckedou,GIN008006,Koundou,GIN00800606,Guinee Forestiere
Guinea,GIN,Mamou,GIN007,Mamou,GIN007002,Kounkoure,GIN00700205,Moyenne Guinee
Guinea,GIN,Boke,GIN001,Gaoual,GIN001003,Kounsitel,GIN00100305,Moyenne Guinee
Guinea,GIN,Labe,GIN006,Labe,GIN006002,Kouramangui,GIN00600208,Moyenne Guinee
Guinea,GIN,Labe,GIN006,Tougue,GIN006005,Kouratongo,GIN00600508,Moyenne Guinee
Guinea,GIN,Kindia,GIN005,Coyah,GIN005001,Kouria,GIN00500102,Basse Guinee
Guinea,GIN,Kankan,GIN004,Kouroussa,GIN004003,Kouroussa Ctre,GIN00400311,Haute Guinee
Guinea,GIN,Nzerekore,GIN008,Macenta,GIN008003,Koyamah,GIN00800307,Guinee Forestiere
Guinea,GIN,Labe,GIN006,Labe,GIN006002,Labe Ctre,GIN00600209,Moyenne Guinee
Guinea,GIN,Labe,GIN006,Lelouma,GIN006003,Lafou,GIN00600305,Moyenne Guinee
Guinea,GIN,Nzerekore,GIN008,Lola,GIN008002,Laine,GIN00800206,Guinee Forestiere
Guinea,GIN,Faranah,GIN003,Dinguiraye,GIN003002,Lansanaya,GIN00300207,Haute Guinee
Guinea,GIN,Labe,GIN006,Mali,GIN006004,Lebekeren,GIN00600407,Moyenne Guinee
Guinea,GIN,Labe,GIN006,Lelouma,GIN006003,Lelouma Ctre,GIN00600306,Moyenne Guinee
Guinea,GIN,Mamou,GIN007,Pita,GIN007003,Ley Miro,GIN00700305,Moyenne Guinee
Guinea,GIN,Kankan,GIN004,Kerouane,GIN004002,Linko,GIN00400206,Haute Guinee
Guinea,GIN,Labe,GIN006,Lelouma,GIN006003,Linsan Saran,GIN00600307,Moyenne Guinee
Guinea,GIN,Boke,GIN001,Boffa,GIN001001,Lisso,GIN00100105,Basse Guinee
Guinea,GIN,Nzerekore,GIN008,Lola,GIN008002,Lola Ctre,GIN00800207,Guinee Forestiere
Guinea,GIN,Nzerekore,GIN008,Macenta,GIN008003,Macenta Ctre,GIN00800308,Guinee Forestiere
Guinea,GIN,Mamou,GIN007,Pita,GIN007003,Maci,GIN00700306,Moyenne Guinee
Guinea,GIN,Kindia,GIN005,Kindia,GIN005004,Madina Oula,GIN00500406,Basse Guinee
Guinea,GIN,Labe,GIN006,Mali,GIN006004,Madina Wora,GIN00600408,Moyenne Guinee
Guinea,GIN,Mamou,GIN007,Dalaba,GIN007001,Mafara,GIN00700108,Moyenne Guinee
Guinea,GIN,Kindia,GIN005,Forecariah,GIN005003,Maferinya,GIN00500308,Basse Guinee
Guinea,GIN,Boke,GIN001,Gaoual,GIN001003,Malanta,GIN00100306,Moyenne Guinee
Guinea,GIN,Boke,GIN001,Boke,GIN001002,Malapouya,GIN00100207,Basse Guinee
Guinea,GIN,Kankan,GIN004,Siguiri,GIN004005,Malea,GIN00400506,Haute Guinee
Guinea,GIN,Labe,GIN006,Mali,GIN006004,Mali Ctre,GIN00600409,Moyenne Guinee
Guinea,GIN,Kindia,GIN005,Kindia,GIN005004,Mambia,GIN00500407,Basse Guinee
Guinea,GIN,Mamou,GIN007,Mamou,GIN007002,Mamou Ctre,GIN00700206,Moyenne Guinee
Guinea,GIN,Kankan,GIN004,Kankan,GIN004001,Mamouroudou,GIN00400108,Haute Guinee
Guinea,GIN,Labe,GIN006,Lelouma,GIN006003,Manda,GIN00600308,Moyenne Guinee
Guinea,GIN,Kankan,GIN004,Mandiana,GIN004004,Mandiana Ctre,GIN00400408,Haute Guinee
Guinea,GIN,Kindia,GIN005,Coyah,GIN005001,Maneah,GIN00500103,Basse Guinee
Guinea,GIN,Faranah,GIN003,Kissidougou,GIN003004,Manfran,GIN00300410,Guinee Forestiere
Guinea,GIN,Boke,GIN001,Boffa,GIN001001,Mankountan,GIN00100106,Basse Guinee
Guinea,GIN,Faranah,GIN003,Faranah,GIN003003,Marella,GIN00300307,Haute Guinee
Guinea,GIN,Labe,GIN006,Koubia,GIN006001,Matakaou,GIN00600104,Moyenne Guinee
Guinea,GIN,Kankan,GIN004,Kankan,GIN004001,Missamana,GIN00400109,Haute Guinee
Guinea,GIN,Labe,GIN006,Koubia,GIN006001,Missira,GIN00600105,Basse Guinee
Guinea,GIN,Kindia,GIN005,Telemele,GIN005005,Missira,GIN00500507,Basse Guinee
Guinea,GIN,Mamou,GIN007,Dalaba,GIN007001,Mitty,GIN00700109,Moyenne Guinee
Guinea,GIN,Kindia,GIN005,Kindia,GIN005004,Molota,GIN00500408,Basse Guinee
Guinea,GIN,Mamou,GIN007,Dalaba,GIN007001,Mombeyah,GIN00700110,Moyenne Guinee
Guinea,GIN,Kankan,GIN004,Kankan,GIN004001,Moribayah,GIN00400110,Haute Guinee
Guinea,GIN,Kankan,GIN004,Mandiana,GIN004004,Morodou,GIN00400409,Haute Guinee
Guinea,GIN,Nzerekore,GIN008,Beyla,GIN008001,Moussadou,GIN00800110,Guinee Forestiere
Guinea,GIN,Kindia,GIN005,Forecariah,GIN005003,Moussayah,GIN00500309,Basse Guinee
Guinea,GIN,Faranah,GIN003,Dabola,GIN003001,Ndema,GIN00300109,Haute Guinee
Guinea,GIN,Nzerekore,GIN008,Macenta,GIN008003,Nzebela,GIN00800309,Guinee Forestiere
Guinea,GIN,Nzerekore,GIN008,Nzerekore,GIN008004,Nzerekore Ctre,GIN00800406,Guinee Forestiere
Guinea,GIN,Nzerekore,GIN008,Lola,GIN008002,Nzoo,GIN00800208,Guinee Forestiere
