FID_1,X_COORD,Y_COORD,NOM,SOUS_PREF,PCODE1,PCODE2,PCODE3,PAYS,AUTEUR,DISTRICT,CL_DISTRIC,DEPARTEMEN,DATE_CREAT,MAJ,DATE_MAJ,PCODES,PCODE4,REGION,CL_REGION
62,182927.00000000000,828452.00000000000,Gohitafla,GOHITAFLA,CIV08,CIV0802,CIV080201,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,ZUENOULA,2008,OCHA-CI,2012,OCHA-CI,CIV08020105,MARAHOUE,BOUAFLE
63,164292.00000000000,821874.00000000000,Zuenoula,ZUENOULA,CIV08,CIV0802,CIV080201,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,ZUENOULA,2008,OCHA-CI,2012,OCHA-CI,CIV08020103,MARAHOUE,BOUAFLE
64,3528.46000000000,777357.00000000000,Bangolo,BANGOLO,CIV06,CIV0602,CIV060202,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BANGOLO,2008,OCHA-CI,2012,OCHA-CI,CIV06020206,GUEMON,DUEKOUE
65,-9624.60000000000,858626.00000000000,Biankouma,BIANKOUMA,CIV06,CIV0601,CIV060101,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BIANKOUMA,2008,OCHA-CI,2012,OCHA-CI,CIV06010104,TONKPI,MAN
66,12701.00000000000,834944.00000000000,Gbonne,GBONNE,CIV06,CIV0601,CIV060101,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BIANKOUMA,2008,OCHA-CI,2012,OCHA-CI,CIV06010106,TONKPI,MAN
67,-62896.00000000000,873736.00000000000,Sipilou,SIPILOU,CIV06,CIV0601,CIV060101,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BIANKOUMA,2008,OCHA-CI,2012,OCHA-CI,CIV06010102,TONKPI,MAN
68,-69613.10000000001,806043.00000000000,Danane,DANANE,CIV06,CIV0601,CIV060103,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,DANANE,2008,OCHA-CI,2012,OCHA-CI,CIV06010304,TONKPI,MAN
69,-76334.50000000000,767532.00000000000,Zouan Hounien,ZOUAN-HOUNIEN,CIV06,CIV0601,CIV060104,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,ZOUAN-HOUNIEN,2008,OCHA-CI,2012,OCHA-CI,CIV06010404,TONKPI,MAN
70,-87924.30000000000,752599.00000000000,Bin-Houyé,BIN-HOUYE,CIV06,CIV0601,CIV060104,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,ZOUAN-HOUNIEN,2008,OCHA-CI,2012,OCHA-CI,CIV06010405,TONKPI,MAN
71,16726.50000000000,818948.00000000000,Facobly,FACOBLY,CIV06,CIV0602,CIV060201,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,KOUIBLY,2008,OCHA-CI,2012,OCHA-CI,CIV06020105,GUEMON,DUEKOUE
72,32577.70000000000,803934.00000000000,Kouibly,KOUIBLY,CIV06,CIV0602,CIV060201,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,KOUIBLY,2008,OCHA-CI,2012,OCHA-CI,CIV06020107,GUEMON,DUEKOUE
73,-3261.71000000000,820854.00000000000,Man,MAN,CIV06,CIV0601,CIV060102,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,MAN,2008,OCHA-CI,2012,OCHA-CI,CIV06010202,TONKPI,MAN
74,-3308.20000000000,788594.00000000000,Logoualé,LOGOUALE,CIV06,CIV0601,CIV060102,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,MAN,2008,OCHA-CI,2012,OCHA-CI,CIV06010210,TONKPI,MAN
75,19082.40000000000,747657.00000000000,Duekoue,DUEKOUE,CIV06,CIV0602,CIV060203,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,DUEKOUE,2008,OCHA-CI,2012,OCHA-CI,CIV06020303,GUEMON,DUEKOUE
76,-54389.10000000000,728904.00000000000,Blolequin,BLOLEQUIN,CIV06,CIV0603,CIV060301,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BLOLEQUIN,2008,OCHA-CI,2012,OCHA-CI,CIV06030101,CAVALLY,GUIGLO
77,3134.35000000000,725452.00000000000,Guiglo,GUIGLO,CIV06,CIV0603,CIV060302,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,GUIGLO,2008,OCHA-CI,2012,OCHA-CI,CIV06030203,CAVALLY,GUIGLO
78,6282.15000000000,651783.00000000000,Tai,TAI,CIV06,CIV0603,CIV060302,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,GUIGLO,2008,OCHA-CI,2012,OCHA-CI,CIV06030206,CAVALLY,GUIGLO
79,-99518.10000000001,730645.00000000000,Toulepleu,TOULEPLEU,CIV06,CIV0603,CIV060303,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,TOULEPLEU,2008,OCHA-CI,2012,OCHA-CI,CIV06030302,CAVALLY,GUIGLO
80,445495.00000000000,744061.00000000000,Abengourou,ABENGOUROU,CIV09,CIV0901,CIV090102,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,ABENGOUROU,2008,OCHA-CI,2012,OCHA-CI,CIV09010204,INDENIE-DJUABLIN,ABENGOUROU
81,454367.00000000000,672386.00000000000,Bettie,BETTIE,CIV09,CIV0901,CIV090103,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,BETTIE,2008,OCHA-CI,2012,OCHA-CI,CIV09010302,INDENIE-DJUABLIN,ABENGOUROU
82,470655.00000000000,736223.00000000000,Niable,NIABLE,CIV09,CIV0901,CIV090102,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,ABENGOUROU,2008,OCHA-CI,2012,OCHA-CI,CIV09010205,INDENIE-DJUABLIN,ABENGOUROU
83,477822.00000000000,788060.00000000000,Agnibilekrou,AGNIBILEKROU,CIV09,CIV0901,CIV090101,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,AGNIBILEKROU,2008,OCHA-CI,2012,OCHA-CI,CIV09010102,INDENIE-DJUABLIN,ABENGOUROU
84,334948.00000000000,780942.00000000000,Bocanda,BOCANDA,CIV07,CIV0703,CIV070301,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,BOCANDA,2008,OCHA-CI,2012,OCHA-CI,CIV07030102,N'ZI,DIMBOKRO
85,314436.00000000000,811248.00000000000,Kouassi-Kouassikro,KOUASSI-KOUASSIKRO,CIV07,CIV0703,CIV070301,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,BOCANDA,2008,OCHA-CI,2012,OCHA-CI,CIV07030101,N'ZI,DIMBOKRO
86,368244.00000000000,733530.00000000000,Bongouanou,BONGOUANOU,CIV07,CIV0703,CIV070303,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,BONGOUANOU,2008,OCHA-CI,2012,OCHA-CI,CIV07030304,N'ZI,DIMBOKRO
87,392328.00000000000,737449.00000000000,Arrah,ARRAH,CIV07,CIV0703,CIV070304,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,ARRAH,2008,OCHA-CI,2012,OCHA-CI,CIV07030402,N'ZI,DIMBOKRO
88,333069.00000000000,701458.00000000000,Anoumaba,ANOUMABA,CIV07,CIV0703,CIV070305,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,M'BATTO,2008,OCHA-CI,2012,OCHA-CI,CIV07030504,N'ZI,DIMBOKRO
89,350389.00000000000,715580.00000000000,M'Batto,M'BATTO,CIV07,CIV0703,CIV070305,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,M'BATTO,2008,OCHA-CI,2012,OCHA-CI,CIV07030503,N'ZI,DIMBOKRO
90,323117.00000000000,719916.00000000000,Tiémélékro,TIEMELEKRO,CIV07,CIV0703,CIV070305,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,M'BATTO,2008,OCHA-CI,2012,OCHA-CI,CIV07030502,N'ZI,DIMBOKRO
91,388022.00000000000,806701.00000000000,Ouellé,OUELLE,CIV07,CIV0701,CIV070103,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,DAOUKRO,2008,OCHA-CI,2012,OCHA-CI,CIV07010304,IFFOU,DAOUKRO
92,311912.00000000000,734846.00000000000,Dimbokro,DIMBOKRO,CIV07,CIV0703,CIV070302,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,DIMBOKRO,2008,OCHA-CI,2012,OCHA-CI,CIV07030204,N'ZI,DIMBOKRO
93,352493.00000000000,824173.00000000000,M'Bahiakro,M'BAHIAKRO,CIV07,CIV0701,CIV070102,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,M'BAHIAKRO,2008,OCHA-CI,2012,OCHA-CI,CIV07010203,IFFOU,DAOUKRO
94,117751.00000000000,1054110.00000000000,Boundiali,BOUNDIALI,CIV01,CIV0101,CIV010103,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,BOUNDIALI,2008,OCHA-CI,2012,OCHA-CI,CIV01010304,BAGOUE,BOUNDIALI
95,122019.00000000000,1089400.00000000000,Gbon,GBON,CIV01,CIV0101,CIV010102,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,KOUTO,2008,OCHA-CI,2012,OCHA-CI,CIV01010202,BAGOUE,BOUNDIALI
