FID_1,X_COORD,Y_COORD,NOM,SOUS_PREF,PCODE1,PCODE2,PCODE3,PAYS,AUTEUR,DISTRICT,CL_DISTRIC,DEPARTEMEN,DATE_CREAT,MAJ,DATE_MAJ,PCODES,PCODE4,REGION,CL_REGION
198,123589.00000000000,637970.00000000000,Okrouyo,OKROUYO,CIV12,CIV1201,CIV120101,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SOUBRE,2008,OCHA-CI,2012,OCHA-CI,CIV12010107,NAWA,SOUBRE
199,128652.00000000000,662690.00000000000,Liliyo,LILIYO,CIV12,CIV1201,CIV120101,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,SOUBRE,2008,OCHA-CI,2012,OCHA-CI,CIV12010105,NAWA,SOUBRE
200,-30044.30000000000,1028910.00000000000,Bougousso,BOUGOUSSO,CIV02,CIV0202,CIV020203,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,ODIENNE,2008,OCHA-CI,2012,OCHA-CI,CIV02020306,KABADOUGOU,ODIENNE
201,-6094.05000000000,1077560.00000000000,Kimbirila Sud,KIMBIRILA-SUD,CIV02,CIV0202,CIV020201,COTE D'IVOIRE,CNTIG,DENGUELE,ODIENNE,SAMATIGUILA,2008,OCHA-CI,2012,OCHA-CI,CIV02020102,KABADOUGOU,ODIENNE
202,154587.00000000000,653109.00000000000,Sérihio,SERIHIO,CIV11,CIV1101,CIV110102,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,GAGNOA,2008,OCHA-CI,2012,OCHA-CI,CIV11010211,GOH,GAGNOA
203,136553.00000000000,697036.00000000000,Dignago,DIGNAGO,CIV11,CIV1101,CIV110102,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,GAGNOA,2008,OCHA-CI,2012,OCHA-CI,CIV11010205,GOH,GAGNOA
204,134541.00000000000,665221.00000000000,Galébouo,GALEBOUO,CIV11,CIV1101,CIV110102,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,GAGNOA,2008,OCHA-CI,2012,OCHA-CI,CIV11010208,GOH,GAGNOA
205,207464.00000000000,702973.00000000000,Tonla,TONLA,CIV11,CIV1101,CIV110101,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,OUME,2008,OCHA-CI,2012,OCHA-CI,CIV11010103,GOH,GAGNOA
206,200897.00000000000,716668.00000000000,Guépahouo,GUEPAHOUO,CIV11,CIV1101,CIV110101,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,OUME,2008,OCHA-CI,2012,OCHA-CI,CIV11010102,GOH,GAGNOA
207,140655.00000000000,764529.00000000000,Gonaté,GONATE,CIV08,CIV0801,CIV080102,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV08010202,HAUT-SASSANDRA,DALOA
208,149815.00000000000,739326.00000000000,Gadouan,GADOUAN,CIV08,CIV0801,CIV080102,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,DALOA,2008,OCHA-CI,2012,OCHA-CI,CIV08010206,HAUT-SASSANDRA,DALOA
209,89767.10000000001,824072.00000000000,Seitifla,SEITIFLA,CIV08,CIV0801,CIV080101,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,VAVOUA,2008,OCHA-CI,2012,OCHA-CI,CIV08010101,HAUT-SASSANDRA,DALOA
210,101569.00000000000,792652.00000000000,Ketro Bassam,KETRO BASSAM,CIV08,CIV0801,CIV080101,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,VAVOUA,2008,OCHA-CI,2012,OCHA-CI,CIV08010106,HAUT-SASSANDRA,DALOA
211,111617.00000000000,842289.00000000000,Bazra Nattis,BAZRA NATTIS,CIV08,CIV0801,CIV080101,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,VAVOUA,2008,OCHA-CI,2012,OCHA-CI,CIV08010102,HAUT-SASSANDRA,DALOA
212,274816.00000000000,783735.00000000000,Lomokankro,LOMOKANKRO,CIV07,CIV0702,CIV070202,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,TIEBISSOU,2008,OCHA-CI,2012,OCHA-CI,CIV07020203,BELIER,TOUMODI
213,238719.00000000000,792484.00000000000,Molonou,MOLONOU,CIV07,CIV0702,CIV070202,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,TIEBISSOU,2008,OCHA-CI,2012,OCHA-CI,CIV07020202,BELIER,TOUMODI
214,276901.00000000000,737036.00000000000,Angoda,ANGONDA,CIV07,CIV0702,CIV070203,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,TOUMODI,2008,OCHA-CI,2012,OCHA-CI,CIV07020301,BELIER,TOUMODI
215,295189.00000000000,700703.00000000000,Kpouèbo,KPOUEBO,CIV07,CIV0702,CIV070203,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,TOUMODI,2008,OCHA-CI,2012,OCHA-CI,CIV07020305,BELIER,TOUMODI
216,265935.00000000000,749573.00000000000,Attiegouakro,ATTIEGOUAKRO,CIV10,CIV1001,CIV100101,COTE D'IVOIRE,CNTIG,DISTRICT AUTONOME DE YAMOUSSOUKRO,YAMOUSSOUKRO,ATTIEGOUAKRO,2008,OCHA-CI,2012,OCHA-CI,CIV10010102,DISTRICT AUTONOME DE YAMOUSSOUKRO,YAMOUSSOUKRO
217,281191.00000000000,817502.00000000000,Molonou-Blé,MOLONOU-BLE,CIV07,CIV0702,CIV070201,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,DIDIEVI,2008,OCHA-CI,2012,OCHA-CI,CIV07020102,BELIER,TOUMODI
218,396583.00000000000,609284.00000000000,Brofodoumé,BROFODOUME,CIV14,CIV1401,CIV140101,COTE D'IVOIRE,CNTIG,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN,ABIDJAN,2008,OCHA-CI,2012,OCHA-CI,CIV14010103,DISTRICT AUTONOME D'ABIDJAN,ABIDJAN
219,417577.00000000000,598044.00000000000,Oghlwapo,OGHLWAPO,CIV13,CIV1301,CIV130104,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,ALEPE,2008,OCHA-CI,2012,OCHA-CI,CIV13010405,ME,ADZOPE
220,326409.00000000000,588083.00000000000,Toupah,TOUPAH,CIV13,CIV1303,CIV130302,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,DABOU,2008,OCHA-CI,2012,OCHA-CI,CIV13030201,GRANDS PONTS,DABOU
221,337442.00000000000,599116.00000000000,Lopou,LOPOU,CIV13,CIV1303,CIV130302,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,DABOU,2008,OCHA-CI,2012,OCHA-CI,CIV13030202,GRANDS PONTS,DABOU
222,340494.00000000000,631916.00000000000,Gomon,GOMON,CIV13,CIV1302,CIV130203,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,SIKENSI,2008,OCHA-CI,2012,OCHA-CI,CIV13020301,AGNEBY-TIASSA,AGBOVILLE
223,238130.00000000000,565770.00000000000,Ebonou,EBONOU,CIV13,CIV1303,CIV130301,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,GRAND-LAHOU,2008,OCHA-CI,2012,OCHA-CI,CIV13030104,GRANDS PONTS,DABOU
224,292349.00000000000,622517.00000000000,Bacanda,BACANDA,CIV13,CIV1303,CIV130301,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,GRAND-LAHOU,2008,OCHA-CI,2012,OCHA-CI,CIV13030101,GRANDS PONTS,DABOU
225,293932.00000000000,608768.00000000000,Ahouanou,AHOUANOU,CIV13,CIV1303,CIV130301,COTE D'IVOIRE,CNTIG,LAGUNES,AGBOVILLE,GRAND-LAHOU,2008,OCHA-CI,2012,OCHA-CI,CIV13030102,GRANDS PONTS,DABOU
226,160891.00000000000,750486.00000000000,Zaguiéta,ZAGUIETA,CIV08,CIV0802,CIV080202,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,BOUAFLE,2008,OCHA-CI,2012,OCHA-CI,CIV08020206,MARAHOUE,BOUAFLE
227,226262.00000000000,744313.00000000000,Bazré,BAZRE,CIV08,CIV0802,CIV080203,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,SINFRA,2008,OCHA-CI,2012,OCHA-CI,CIV08020303,MARAHOUE,BOUAFLE
228,212206.00000000000,736352.00000000000,Kononfla,KONONFLA,CIV08,CIV0802,CIV080203,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,SINFRA,2008,OCHA-CI,2012,OCHA-CI,CIV08020302,MARAHOUE,BOUAFLE
229,162865.00000000000,733091.00000000000,Kouétinfla,KOUETINFLA,CIV08,CIV0802,CIV080203,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,SINFRA,2008,OCHA-CI,2012,OCHA-CI,CIV08020304,MARAHOUE,BOUAFLE
230,174827.00000000000,843833.00000000000,Voueboufla,VOUEBOUFLA,CIV08,CIV0802,CIV080201,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,ZUENOULA,2008,OCHA-CI,2012,OCHA-CI,CIV08020102,MARAHOUE,BOUAFLE
231,144698.00000000000,810497.00000000000,Kanzra,KANZRA,CIV08,CIV0802,CIV080201,COTE D'IVOIRE,CNTIG,SASSANDRA-MARAHOUE,DALOA,ZUENOULA,2008,OCHA-CI,2012,OCHA-CI,CIV08020107,MARAHOUE,BOUAFLE
232,22519.70000000000,793593.00000000000,Diéouzon,DIEOUZON,CIV06,CIV0602,CIV060202,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BANGOLO,2008,OCHA-CI,2012,OCHA-CI,CIV06020202,GUEMON,DUEKOUE
233,39407.40000000000,779194.00000000000,Guinglo Tahouake,GUINGLO-TAHOUAKE,CIV06,CIV0602,CIV060202,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BANGOLO,2008,OCHA-CI,2012,OCHA-CI,CIV06020207,GUEMON,DUEKOUE
234,5928.29000000000,789119.00000000000,Zéo,ZEO,CIV06,CIV0602,CIV060202,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BANGOLO,2008,OCHA-CI,2012,OCHA-CI,CIV06020204,GUEMON,DUEKOUE
235,-30928.40000000000,773535.00000000000,Zou,ZOU,CIV06,CIV0602,CIV060202,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BANGOLO,2008,OCHA-CI,2012,OCHA-CI,CIV06020208,GUEMON,DUEKOUE
236,-35388.60000000000,850345.00000000000,Santa,SANTA,CIV06,CIV0601,CIV060101,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BIANKOUMA,2008,OCHA-CI,2012,OCHA-CI,CIV06010107,TONKPI,MAN
237,6066.25000000000,850781.00000000000,Gbangbégouiné,GBANGBEGOUINE,CIV06,CIV0601,CIV060101,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BIANKOUMA,2008,OCHA-CI,2012,OCHA-CI,CIV06010109,TONKPI,MAN
238,-38730.20000000000,863808.00000000000,Yorodougou,YORODOUGOU,CIV06,CIV0601,CIV060101,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BIANKOUMA,2008,OCHA-CI,2012,OCHA-CI,CIV06010103,TONKPI,MAN
239,-81747.89999999999,820576.00000000000,Kouan-Houlé,KOUAN-HOULE,CIV06,CIV0601,CIV060103,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,DANANE,2008,OCHA-CI,2012,OCHA-CI,CIV06010302,TONKPI,MAN
240,-64635.60000000000,833946.00000000000,Daleu,DALEU,CIV06,CIV0601,CIV060103,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,DANANE,2008,OCHA-CI,2012,OCHA-CI,CIV06010301,TONKPI,MAN
241,-67142.50000000000,780684.00000000000,Téapleu,TEAPLEU,CIV06,CIV0601,CIV060104,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,ZOUAN-HOUNIEN,2008,OCHA-CI,2012,OCHA-CI,CIV06010402,TONKPI,MAN
242,15564.40000000000,807699.00000000000,Totrodrou,TOTRODROU,CIV06,CIV0602,CIV060201,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,KOUIBLY,2008,OCHA-CI,2012,OCHA-CI,CIV06020108,GUEMON,DUEKOUE
243,-20972.20000000000,785987.00000000000,Yapleu,YAPLEU,CIV06,CIV0601,CIV060102,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,MAN,2008,OCHA-CI,2012,OCHA-CI,CIV06010211,TONKPI,MAN
244,-65558.70000000000,730935.00000000000,Doké,DOKE,CIV06,CIV0603,CIV060301,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BLOLEQUIN,2008,OCHA-CI,2012,OCHA-CI,CIV06030102,CAVALLY,GUIGLO
245,-70838.89999999999,714637.00000000000,Tinhou,TINHOU,CIV06,CIV0603,CIV060301,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BLOLEQUIN,2008,OCHA-CI,2012,OCHA-CI,CIV06030104,CAVALLY,GUIGLO
246,-35705.40000000000,726569.00000000000,Zeaglo,ZEAGLO,CIV06,CIV0603,CIV060301,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,BLOLEQUIN,2008,OCHA-CI,2012,OCHA-CI,CIV06030103,CAVALLY,GUIGLO
247,2880.50000000000,688041.00000000000,Zagne,ZAGNE,CIV06,CIV0603,CIV060302,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,GUIGLO,2008,OCHA-CI,2012,OCHA-CI,CIV06030205,CAVALLY,GUIGLO
248,-87109.30000000000,727899.00000000000,Péhé,PEHE,CIV06,CIV0603,CIV060303,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,TOULEPLEU,2008,OCHA-CI,2012,OCHA-CI,CIV06030301,CAVALLY,GUIGLO
249,-108948.00000000000,724894.00000000000,Tiobly,TIOBLY,CIV06,CIV0603,CIV060303,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,TOULEPLEU,2008,OCHA-CI,2012,OCHA-CI,CIV06030304,CAVALLY,GUIGLO
250,437187.00000000000,754341.00000000000,Amélékia,AMELEKIA,CIV09,CIV0901,CIV090102,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,ABENGOUROU,2008,OCHA-CI,2012,OCHA-CI,CIV09010202,INDENIE-DJUABLIN,ABENGOUROU
251,424420.00000000000,736504.00000000000,Aniassué,ANIASSUE,CIV09,CIV0901,CIV090102,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,ABENGOUROU,2008,OCHA-CI,2012,OCHA-CI,CIV09010203,INDENIE-DJUABLIN,ABENGOUROU
252,454320.00000000000,768892.00000000000,Yakasse Feyasse,YAKASSE-FEYASSE,CIV09,CIV0901,CIV090102,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,ABENGOUROU,2008,OCHA-CI,2012,OCHA-CI,CIV09010201,INDENIE-DJUABLIN,ABENGOUROU
253,461548.00000000000,705478.00000000000,Ebilassokro,EBILASSOKRO,CIV09,CIV0901,CIV090102,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,ABENGOUROU,2008,OCHA-CI,2012,OCHA-CI,CIV09010207,INDENIE-DJUABLIN,ABENGOUROU
254,459953.00000000000,710970.00000000000,Zaranou,ZARANOU,CIV09,CIV0901,CIV090102,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,ABENGOUROU,2008,OCHA-CI,2012,OCHA-CI,CIV09010206,INDENIE-DJUABLIN,ABENGOUROU
255,464770.00000000000,688447.00000000000,Diamarakro,DIAMARAKRO,CIV09,CIV0901,CIV090103,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,BETTIE,2008,OCHA-CI,2012,OCHA-CI,CIV09010301,INDENIE-DJUABLIN,ABENGOUROU
256,465376.00000000000,792647.00000000000,Tanguélan,TANGUELAN,CIV09,CIV0901,CIV090101,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,AGNIBILEKROU,2008,OCHA-CI,2012,OCHA-CI,CIV09010103,INDENIE-DJUABLIN,ABENGOUROU
257,450880.00000000000,783770.00000000000,Duffrebo,DUFFREBO,CIV09,CIV0901,CIV090101,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,AGNIBILEKROU,2008,OCHA-CI,2012,OCHA-CI,CIV09010101,INDENIE-DJUABLIN,ABENGOUROU
258,336334.00000000000,752237.00000000000,Bengassou,BENGASSOU,CIV07,CIV0703,CIV070301,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,BOCANDA,2008,OCHA-CI,2012,OCHA-CI,CIV07030105,N'ZI,DIMBOKRO
259,358571.00000000000,781558.00000000000,N'Zecrezessou,N'ZECREZESSOU,CIV07,CIV0703,CIV070301,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,BOCANDA,2008,OCHA-CI,2012,OCHA-CI,CIV07030103,N'ZI,DIMBOKRO
260,379063.00000000000,750485.00000000000,Andé,ANDE,CIV07,CIV0703,CIV070303,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,BONGOUANOU,2008,OCHA-CI,2012,OCHA-CI,CIV07030301,N'ZI,DIMBOKRO
261,311760.00000000000,756011.00000000000,Nofou,NOFOU,CIV07,CIV0703,CIV070302,COTE D'IVOIRE,CNTIG,LACS,DIMBOKRO,DIMBOKRO,2008,OCHA-CI,2012,OCHA-CI,CIV07030201,N'ZI,DIMBOKRO
262,135905.00000000000,1029730.00000000000,Ganaoni,GANAONI,CIV01,CIV0101,CIV010103,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,BOUNDIALI,2008,OCHA-CI,2012,OCHA-CI,CIV01010305,BAGOUE,BOUNDIALI
263,135634.00000000000,1055940.00000000000,Siempurgo,SIEMPURGO,CIV01,CIV0101,CIV010103,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,BOUNDIALI,2008,OCHA-CI,2012,OCHA-CI,CIV01010303,BAGOUE,BOUNDIALI
264,76498.50000000000,1110470.00000000000,Sianhala,SIANHALA,CIV01,CIV0101,CIV010102,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,KOUTO,2008,OCHA-CI,2012,OCHA-CI,CIV01010204,BAGOUE,BOUNDIALI
265,156202.00000000000,1008750.00000000000,Kanoroba,KANOROBA,CIV01,CIV0102,CIV010201,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,KORHOGO,2008,OCHA-CI,2012,OCHA-CI,CIV01020118,PORO,KORHOGO
266,102653.00000000000,1175790.00000000000,Débété,DEBETE,CIV01,CIV0101,CIV010101,COTE D'IVOIRE,CNTIG,SAVANES,KORHOGO,TENGRELA,2008,OCHA-CI,2012,OCHA-CI,CIV01010102,BAGOUE,BOUNDIALI
267,194394.00000000000,625557.00000000000,Niambézaria,NIAMBEZARIA,CIV11,CIV1102,CIV110201,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,LAKOTA,2008,OCHA-CI,2012,OCHA-CI,CIV11020105,LOH-DJIBOUA,DIVO
268,261309.00000000000,651573.00000000000,Ogoudou,OGOUDOU,CIV11,CIV1102,CIV110202,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,DIVO,2008,OCHA-CI,2012,OCHA-CI,CIV11020205,LOH-DJIBOUA,DIVO
269,244061.00000000000,665706.00000000000,Didoko,DIDOKO,CIV11,CIV1102,CIV110202,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,DIVO,2008,OCHA-CI,2012,OCHA-CI,CIV11020204,LOH-DJIBOUA,DIVO
270,213546.00000000000,604864.00000000000,Gbagbam,GBAGBAM,CIV12,CIV1203,CIV120302,COTE D'IVOIRE,CNTIG,BAS-SASSANDRA,SAN PEDRO,FRESCO,2008,OCHA-CI,2012,OCHA-CI,CIV12030201,GBOKLE,SASSANDRA
271,243750.00000000000,576367.00000000000,Lauzoua,LAUZOUA,CIV11,CIV1102,CIV110203,COTE D'IVOIRE,CNTIG,GOH-DJIBOUA,GAGNOA,GUITRY,2008,OCHA-CI,2012,OCHA-CI,CIV11020303,LOH-DJIBOUA,DIVO
272,478554.00000000000,664468.00000000000,Bianouan,BIANOUAN,CIV09,CIV0902,CIV090201,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,ABOISSO,2008,OCHA-CI,2012,OCHA-CI,CIV09020101,SUD-COMOE,ABOISSO
273,484614.00000000000,639897.00000000000,Yaou,YAOU,CIV09,CIV0902,CIV090201,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,ABOISSO,2008,OCHA-CI,2012,OCHA-CI,CIV09020102,SUD-COMOE,ABOISSO
274,510403.00000000000,601402.00000000000,Kouakro,KOUAKRO,CIV09,CIV0902,CIV090201,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,ABOISSO,2008,OCHA-CI,2012,OCHA-CI,CIV09020106,SUD-COMOE,ABOISSO
275,523494.00000000000,585428.00000000000,Noé,NOE,CIV09,CIV0902,CIV090204,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,TIAPOUM,2008,OCHA-CI,2012,OCHA-CI,CIV09020401,SUD-COMOE,ABOISSO
276,510919.00000000000,572451.00000000000,Nouamou,NOUAMOU,CIV09,CIV0902,CIV090204,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,TIAPOUM,2008,OCHA-CI,2012,OCHA-CI,CIV09020402,SUD-COMOE,ABOISSO
277,260579.00000000000,988093.00000000000,Niédiékaha,NIEDIEKAHA,CIV04,CIV0401,CIV040101,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,NIAKARAMADOUGOU,2008,OCHA-CI,2012,OCHA-CI,CIV04010104,HAMBOL,KATIOLA
278,262035.00000000000,1016670.00000000000,Badikaha,BADIKAHA,CIV04,CIV0401,CIV040101,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,NIAKARAMADOUGOU,2008,OCHA-CI,2012,OCHA-CI,CIV04010101,HAMBOL,KATIOLA
279,215511.00000000000,830385.00000000000,Ando Kekrenou,ANDO-KEKRENOU,CIV04,CIV0402,CIV040202,COTE D'IVOIRE,CNTIG,VALLE DU BANDAMA,BOUAKE,BEOUMI,2008,OCHA-CI,2012,OCHA-CI,CIV04020206,GBEKE,BOUAKE
280,143152.00000000000,970063.00000000000,Dianra Village,DIANRA-VILLAGE,CIV05,CIV0501,CIV050101,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,MANKONO,2008,OCHA-CI,2012,OCHA-CI,CIV05010102,BERE,MANKONO
281,178547.00000000000,934776.00000000000,Marandallah,MARANDALLAH,CIV05,CIV0501,CIV050101,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,MANKONO,2008,OCHA-CI,2012,OCHA-CI,CIV05010104,BERE,MANKONO
282,101196.00000000000,963669.00000000000,Fadiadougou,FADIADOUGOU,CIV05,CIV0503,CIV050301,COTE D'IVOIRE,CNTIG,WOROBA,SEGUELA,KANI,2008,OCHA-CI,2012,OCHA-CI,CIV05030103,WORODOUGOU,SEGUELA
283,514045.00000000000,872148.00000000000,Appimadoum,APPIMANDOUM,CIV03,CIV0302,CIV030201,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV03020112,GONTOUGO,BONDOUKOU
284,502085.00000000000,872889.00000000000,Goumere,GOUMERE,CIV03,CIV0302,CIV030201,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV03020110,GONTOUGO,BONDOUKOU
285,424589.00000000000,897552.00000000000,Yorobodi,YOROBODI,CIV03,CIV0302,CIV030202,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,SANDEGUE,2008,OCHA-CI,2012,OCHA-CI,CIV03020201,GONTOUGO,BONDOUKOU
286,415001.00000000000,885542.00000000000,Dimandougou,DIMANDOUGOU,CIV03,CIV0302,CIV030202,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,SANDEGUE,2008,OCHA-CI,2012,OCHA-CI,CIV03020203,GONTOUGO,BONDOUKOU
287,500207.00000000000,901852.00000000000,Sapli-Sépingo,SAPLI-SEPINGO,CIV03,CIV0302,CIV030201,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV03020107,GONTOUGO,BONDOUKOU
288,532727.00000000000,904076.00000000000,Sorobango,SOROBANGO,CIV03,CIV0302,CIV030201,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV03020104,GONTOUGO,BONDOUKOU
289,492546.00000000000,883268.00000000000,Tabagne,TABAGNE,CIV03,CIV0302,CIV030201,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV03020109,GONTOUGO,BONDOUKOU
290,451179.00000000000,898787.00000000000,Taoudi,TAOUDI,CIV03,CIV0302,CIV030201,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV03020105,GONTOUGO,BONDOUKOU
291,477620.00000000000,909166.00000000000,Bondo,BONDO,CIV03,CIV0302,CIV030201,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,BONDOUKOU,2008,OCHA-CI,2012,OCHA-CI,CIV03020103,GONTOUGO,BONDOUKOU
292,374804.00000000000,1079550.00000000000,Tougbo,TOUGBO,CIV03,CIV0301,CIV030101,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,TEHINI,2008,OCHA-CI,2012,OCHA-CI,CIV03010103,BOUNKANI,BOUNA
293,418355.00000000000,922158.00000000000,Sominassé,SOMINASSE,CIV03,CIV0301,CIV030104,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,NASSIAN,2008,OCHA-CI,2012,OCHA-CI,CIV03010405,BOUNKANI,BOUNA
294,485105.00000000000,880304.00000000000,Amanvi,AMANVI,CIV03,CIV0302,CIV030203,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,TANDA,2008,OCHA-CI,2012,OCHA-CI,CIV03020301,GONTOUGO,BONDOUKOU
295,493132.00000000000,797735.00000000000,Tienkoikro,TIENKOIKRO,CIV03,CIV0302,CIV030205,COTE D'IVOIRE,CNTIG,ZANZAN,BONDOUKOU,KOUN-FAO,2008,OCHA-CI,2012,OCHA-CI,CIV03020506,GONTOUGO,BONDOUKOU
296,483804.00000000000,781755.00000000000,Damé,DAME,CIV09,CIV0901,CIV090101,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,AGNIBILEKROU,2008,OCHA-CI,2012,OCHA-CI,CIV09010104,INDENIE-DJUABLIN,ABENGOUROU
297,474808.00000000000,769849.00000000000,Akoboissué,AKOBOISSUE,CIV09,CIV0901,CIV090101,COTE D'IVOIRE,CNTIG,COMOE,ABENGOUROU,AGNIBILEKROU,2008,OCHA-CI,2012,OCHA-CI,CIV09010105,INDENIE-DJUABLIN,ABENGOUROU
298,43762.10000000000,843054.00000000000,Sémien,SEMIEN,CIV06,CIV0602,CIV060201,COTE D'IVOIRE,CNTIG,MONTAGNES,MAN,KOUIBLY,2008,OCHA-CI,2012,OCHA-CI,CIV06020101,GUEMON,DUEKOUE
