CNTRY_NAME,CNTRY_CODE,ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,HRname,HRpcode,HRparent
Nigeria,NGA,Benue,NGA007,Apa,NGA007003,Apa,NG007003,NG007
Nigeria,NGA,Benue,NGA007,Buruku,NGA007004,Buruku,NG007004,NG007
Nigeria,NGA,Benue,NGA007,Gboko,NGA007005,Gboko,NG007005,NG007
Nigeria,NGA,Benue,NGA007,Guma,NGA007006,Guma,NG007006,NG007
Nigeria,NGA,Benue,NGA007,Gwer East,NGA007007,Gwer East,NG007007,NG007
Nigeria,NGA,Benue,NGA007,Gwer West,NGA007008,Gwer West,NG007008,NG007
Nigeria,NGA,Benue,NGA007,Katsina-Ala,NGA007009,Katsina-Ala,NG007009,NG007
Nigeria,NGA,Benue,NGA007,Konshisha,NGA007010,Konshisha,NG007010,NG007
Nigeria,NGA,Benue,NGA007,Logo,NGA007012,Logo,NG007012,NG007
Nigeria,NGA,Benue,NGA007,Makurdi,NGA007013,Makurdi,NG007013,NG007
Nigeria,NGA,Benue,NGA007,Obi,NGA007014,Obi,NG007014,NG007
Nigeria,NGA,Benue,NGA007,Ogbadibo,NGA007015,Ogbadibo,NG007015,NG007
Nigeria,NGA,Benue,NGA007,Ohimini,NGA007016,Ohimini,NG007016,NG007
Nigeria,NGA,Benue,NGA007,Oju,NGA007017,Oju,NG007017,NG007
Nigeria,NGA,Benue,NGA007,Okpokwu,NGA007018,Okpokwu,NG007018,NG007
Nigeria,NGA,Benue,NGA007,Oturkpo,NGA007019,Oturkpo,NG007019,NG007
Nigeria,NGA,Benue,NGA007,Tarka,NGA007020,Tarka,NG007020,NG007
Nigeria,NGA,Benue,NGA007,Ukum,NGA007021,Ukum,NG007021,NG007
Nigeria,NGA,Benue,NGA007,Ushongo,NGA007022,Ushongo,NG007022,NG007
Nigeria,NGA,Benue,NGA007,Vandeikya,NGA007023,Vandeikya,NG007023,NG007
Nigeria,NGA,Borno,NGA008,Askira/Uba,NGA008002,Askira/Uba,NG008002,NG008
Nigeria,NGA,Borno,NGA008,Bayo,NGA008004,Bayo,NG008004,NG008
Nigeria,NGA,Borno,NGA008,Biu,NGA008005,Biu,NG008005,NG008
Nigeria,NGA,Borno,NGA008,Chibok,NGA008006,Chibok,NG008006,NG008
Nigeria,NGA,Borno,NGA008,Damboa,NGA008007,Damboa,NG008007,NG008
Nigeria,NGA,Borno,NGA008,Dikwa,NGA008008,Dikwa,NG008008,NG008
Nigeria,NGA,Borno,NGA008,Gubio,NGA008009,Gubio,NG008009,NG008
Nigeria,NGA,Borno,NGA008,Guzamala,NGA008010,Guzamala,NG008010,NG008
Nigeria,NGA,Borno,NGA008,Hawul,NGA008012,Hawul,NG008012,NG008
Nigeria,NGA,Borno,NGA008,Jere,NGA008013,Jere,NG008013,NG008
Nigeria,NGA,Borno,NGA008,Kaga,NGA008014,Kaga,NG008014,NG008
Nigeria,NGA,Borno,NGA008,Konduga,NGA008016,Konduga,NG008016,NG008
Nigeria,NGA,Borno,NGA008,Kwaya Kusar,NGA008018,Kwaya Kusar,NG008018,NG008
Nigeria,NGA,Borno,NGA008,Mafa,NGA008019,Mafa,NG008019,NG008
Nigeria,NGA,Borno,NGA008,Magumeri,NGA008020,Magumeri,NG008020,NG008
Nigeria,NGA,Borno,NGA008,Maiduguri,NGA008021,Maiduguri,NG008021,NG008
