"name","pcode","parent","admlevel"
"Ouellí©","CIV07010304","CIV070103",4
"Dimbokro","CIV07030204","CIV070302",4
"M'Bahiakro","CIV07010203","CIV070102",4
"Boundiali","CIV01010304","CIV010103",4
"Gbon","CIV01010202","CIV010102",4
"Kassere","CIV01010302","CIV010103",4
"Kolia","CIV01010205","CIV010102",4
"Kouto","CIV01010203","CIV010102",4
"Diawala","CIV01030103","CIV010301",4
"Kong","CIV01030205","CIV010302",4
"Koumbala","CIV01030203","CIV010302",4
"Nielle","CIV01030102","CIV010301",4
"Ouangolodougou","CIV01030105","CIV010301",4
"Dikodougou","CIV01020302","CIV010203",4
"Guiembí©","CIV01020301","CIV010203",4
"Karakoro","CIV01020109","CIV010201",4
"Komborodougou","CIV01020110","CIV010201",4
"Tioroniaradougou","CIV01020112","CIV010201",4
"Niofoin","CIV01020105","CIV010201",4
"M'Benguí©","CIV01020103","CIV010201",4
"Napií©olí©dougou","CIV01020116","CIV010201",4
"Sirasso","CIV01020115","CIV010201",4
"Sinematiali","CIV01020201","CIV010202",4
"Korhogo","CIV01020108","CIV010201",4
"Tengrela","CIV01010103","CIV010101",4
"Lakota","CIV11020104","CIV110201",4
"Zikisso","CIV11020103","CIV110201",4
"Divo","CIV11020206","CIV110202",4
"Fresco","CIV12030203","CIV120302",4
"Guitry","CIV11020302","CIV110203",4
"Hirí©","CIV11020201","CIV110202",4
"Aboisso","CIV09020104","CIV090201",4
"Ayamí©","CIV09020103","CIV090201",4
"Bonoua","CIV09020202","CIV090202",4
"Adiake","CIV09020301","CIV090203",4
"Tiapoum","CIV09020403","CIV090204",4
"Bouake","CIV04020301","CIV040203",4
"Botro","CIV04020103","CIV040201",4
"Brobo","CIV04020303","CIV040203",4
"Diabo","CIV04020102","CIV040201",4
"Djí©bonoua","CIV04020305","CIV040203",4
"Fronan","CIV04010301","CIV040103",4
"Niakaramandougou","CIV04010103","CIV040101",4
"Katiola","CIV04010303","CIV040103",4
"Tafirí©","CIV04010102","CIV040101",4
"Tortiya","CIV04010106","CIV040101",4
"Sakassou","CIV04020401","CIV040204",4
"Bonieredougou","CIV04010205","CIV040102",4
"Dabakala","CIV04010202","CIV040102",4
"Bassawa","CIV04010207","CIV040102",4
"Foumbolo","CIV04010201","CIV040102",4
"Satama Sokoro","CIV04010208","CIV040102",4
"Satama Sokoura","CIV04010209","CIV040102",4
"Bodokro","CIV04020203","CIV040202",4
"Dianra","CIV05010101","CIV050101",4
"Mankono","CIV05010106","CIV050101",4
"Sarhala","CIV05010103","CIV050101",4
"Tií©ningbouí©","CIV05010107","CIV050101",4
"Djibrosso","CIV05030102","CIV050301",4
"Dualla","CIV05030203","CIV050302",4
"Kani","CIV05030104","CIV050301",4
"Massala","CIV05030205","CIV050302",4
"Morondo","CIV05030101","CIV050301",4
"Seguela","CIV05030204","CIV050302",4
"Sifie","CIV05030206","CIV050302",4
"Worofla","CIV05030201","CIV050302",4
"Bondoukou","CIV03020108","CIV030201",4
"Sandegue","CIV03020202","CIV030202",4
"Bouna","CIV03010301","CIV030103",4
"Doropo","CIV03010202","CIV030102",4
"Tehini","CIV03010102","CIV030101",4
"Nassian","CIV03010404","CIV030104",4
"Assuí©fry","CIV03020401","CIV030204",4
"Kouassi-Datí©kro","CIV03020501","CIV030205",4
"Koun Fao","CIV03020503","CIV030205",4
"Tanda","CIV03020303","CIV030203",4
"Transua","CIV03020402","CIV030204",4
"Mafí©rí©","CIV09020105","CIV090201",4
"Yakasse attobrou","CIV13010302","CIV130103",4
"Kongasso","CIV05010202","CIV050102",4
"Kounahiri","CIV05010201","CIV050102",4
"Tií©mí©","CIV02020305","CIV020203",4
"Agou","CIV13010202","CIV130102",4
"Ettrokro","CIV07010305","CIV070103",4
"Sangouiní©","CIV06010203","CIV060102",4
"Saioua","CIV08010403","CIV080104",4
"Affí©ry","CIV13010103","CIV130101",4
"Kanakono","CIV01010104","CIV010101",4
"Guí©yo","CIV12010201","CIV120102",4
"Oress Krobou","CIV13020209","CIV130202",4
"Loviguie","CIV13020208","CIV130202",4
"Grand Morií©","CIV13020205","CIV130202",4
"Cechi","CIV13020201","CIV130202",4
"Abongoua","CIV13010301","CIV130103",4
"Bií©by","CIV13010303","CIV130103",4
"Assikoi","CIV13010203","CIV130102",4
"Bí©cí©di-Brignan","CIV13010205","CIV130102",4
"Bí©couí©fin","CIV13010101","CIV130101",4
"Foungbesso","CIV05020204","CIV050202",4
"Dogbo","CIV12020202","CIV120202",4
"Gabiadji","CIV12020203","CIV120202",4
"Doba","CIV12020201","CIV120202",4
"Dabouyo","CIV12010202","CIV120102",4
"Dakpadou","CIV12030104","CIV120301",4
"Sago","CIV12030101","CIV120301",4
"Djouroutou","CIV12020101","CIV120201",4
"Oupoyo","CIV12010108","CIV120101",4
"Okrouyo","CIV12010107","CIV120101",4
"Liliyo","CIV12010105","CIV120101",4
"Bougousso","CIV02020306","CIV020203",4
